Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS ,PR_Size,Log_PR_Size,Has_Code,Adopt_Any,Fraction_Adopted,Status,Exp_Author_Repo,Time_To_Event,PR_Language,Merged_By_Author,Closed_By_Author,Closed_By_Author_new
PA-78,https://github.com/VyProductions/SeniorDesign/pull/57,https://chat.openai.com/share/968d797a-0ef8-4644-91b9-70d1a3d0c016,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides code snippet examples in python with several functions and explicitly wants to optimize the get change functions that have. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e refactor the provided code with specified inputs and outputs defined and it scoped out the optimisation to be done on the get functions, and adding error checks for format of the input. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.",5,137.0,4.927253685,1.0,1.0,84.84,merged,4.0,1.0,Python,0.0,,
PA-23,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae,PA,2.0,2.0,2.0,Context was scored 2 because the prompt provides code snippets for the sample test cases with symbols and function names which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and output format i.e to rewrite the provided test case and combine all the it() blocks from the original into one test() in the rewritten case. Prompt provides an example of a test case (for a different bug) in the format required for the rewritten test case. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output format to the example provided and also explictiy mentions that all should be combined into one test which can be verified,6,8717.0,9.073145133,1.0,1.0,7.69,merged,2.0,15.0,JSON,0.0,,
PA-21,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides code snippets, function names like deleteLeague and symbols which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to understand why the behavior of delete button misbehaves(deletes wrong item) in the provided code and how to fix the issue like implementing event.stopPropagate and the prompt provides mentions the expectations ( postconditions) Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked if the wrong item gets deleted or now the right item gets deleted",5,374.0,5.926926026,1.0,1.0,4.68,merged,0.0,1.0,TypeScript,1.0,,
PA-84,https://github.com/dantol29/webserver/pull/147,https://chat.openai.com/share/2b9c431e-827a-48d5-821f-0395b7f2b022,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions CPP language, and provides code snippets with function names such as CGIStringToResponse and symbols. This provides clear locus and concrete evidence. However, it asks a conceptual comparison question about whether there is a difference between two return styles without defining constraints, expected output format, or behavioral requirements, so it has a clear goal but limited scope framing (S=1). Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked for the difference between the provided two C++ code snippets.",4,2040.0,7.621195163,1.0,1.0,100.0,merged,6.0,4.0,C++,0.0,,
PA-61,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/229,https://chat.openai.com/share/5e4a70ec-4936-4500-9821-d89ec43df531,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions TailwindCSS, react and also provides code snippets which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to understand tailwindcss and write a simple code snippet that shows its use and what it does and then convert the provided React Native styling to use tailwindcss but the prompt lacks constraints. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. It can be checked that Tailwind css is applied and functioning properly.",4,56.0,4.043051268,1.0,1.0,43.14,merged,4.0,4.0,TypeScript,0.0,,
PA-16,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt provides clear context by mentioning the library and language i.e activerecord-multi-tenant library in rails and provides code samples that includes code symbols. Specificity was scored 1 because the goal is clear i.e to get a unit test that checks if the implemented fix is actually working, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The unit test for the fix can be examined to see if it passed or failed.",4,36.0,3.610917913,1.0,1.0,3.57,merged,0.0,6.0,Ruby,0.0,,
PA-3,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a,PA,2.0,2.0,2.0,Context was scored 2 because the prompt mentions about json and provides clear json samples and format which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e generate a list of problem statements in the specified categories like Agriculture. It constrains it to 50 items and defines the output format to be in json format. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to generate a list in a json format up to 50 following the provided categories which can be verified.,6,300.0,5.707110265,1.0,1.0,1.63,merged,0.0,1.0,TypeScript,0.0,,
PA-24,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4,247.0,5.513428746,1.0,1.0,7.69,merged,2.0,3.0,TypeScript,0.0,,
PA-22,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad,PA,1.0,2.0,2.0,"Context was scored 1 because the prompt provides partial context by mentioning about Kotlin programming language and sksamuel/scrimage library but not code examples, function names or symbols Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to use the Kotlin sksamuel/scrimage library to generate code that draws a string on an image and outlines the string. It defines constraints like the text should be drawn in white, with a black border clearing setting the expectations ( postconditions) Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to draw a string on an image and outlines the string. That the text is drawn in white, with a black border which can be verified.",5,354.0,5.872117789,1.0,1.0,6.67,merged,10.0,1.0,Kotlin,0.0,,
PA-34,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4,247.0,5.513428746,1.0,1.0,7.69,merged,2.0,3.0,TypeScript,0.0,,
