Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS,PR_Size,Log_PR_Size,Has_Code,Adopt_Any,Fraction_Adopted,Status,Exp_Author_Repo,Time_To_Event,PR_Language,Merged_By_Author,Closed_By_Author
PA-22,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad,PA,1.0,2.0,2.0,"Context was scored 1 because the prompt provides partial context by mentioning about Kotlin programming language and sksamuel/scrimage library but not code examples, function names or symbols Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to use the Kotlin sksamuel/scrimage library to generate code that draws a string on an image and outlines the string. It defines constraints like the text should be drawn in white, with a black border clearing setting the expectations ( postconditions) Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to draw a string on an image and outlines the string. That the text is drawn in white, with a black border which can be verified.",5.0,354.0,5.87211779,1.0,1.0,6.67,merged,10.0,1.0,Kotlin,0.0,
PN-19,https://github.com/laravel-json-api/core/pull/12,https://chat.openai.com/share/e9555822-4ffb-4845-8e40-0bc6cbbc658d,PN,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by regular expression (regex) to match ULID format and providing sample regex is the follow up turn i.e. [0-7][0-9A-HJKMNP-TV-Z]{25} but does not include exact code snippets, files, does not mention which programming language is being used. Specificity was scored 1 because the goal is clear i.e give a regex that matches ULID format. VERIFICATION (1): There is implicit correctness verification because the regex must match ULID constraints (26 characters, specific Base32 set, excluded characters). These constraints function as implicit correctness rules, though no explicit tests are provided.",3.0,10.0,2.39789527,1.0,0.0,,merged,0.0,7.0,PHP,,0.0
PA-78,https://github.com/VyProductions/SeniorDesign/pull/57,https://chat.openai.com/share/968d797a-0ef8-4644-91b9-70d1a3d0c016,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides code snippet examples in python with several functions and explicitly wants to optimize the get change functions that have. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e refactor the provided code with specified inputs and outputs defined and it scoped out the optimisation to be done on the get functions, and adding error checks for format of the input. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.",5.0,137.0,4.92725369,1.0,1.0,84.84,merged,4.0,1.0,Python,0.0,
PA-61,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/229,https://chat.openai.com/share/5e4a70ec-4936-4500-9821-d89ec43df531,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions TailwindCSS, react and also provides code snippets which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to understand tailwindcss and write a simple code snippet that shows its use and what it does and then convert the provided React Native styling to use tailwindcss but the prompt lacks constraints. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. It can be checked that Tailwind css is applied and functioning properly.",4.0,56.0,4.04305127,1.0,1.0,43.14,merged,4.0,4.0,TypeScript,0.0,
PN-25,https://github.com/VOICEVOX/voicevox_core/pull/655,https://chat.openai.com/share/ea95f20d-b69c-47e3-96cc-5f7872077d53,PN,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about git diff with no code snippets, file names or filepaths. Specificity was scored 1 because the goal is clear i.e. to understand the status code returns when `git diff` finds differences but no clearly defined constraints, output formats specified. VERIFICATION (1): There is an implicit correctness condition: the expected status-code semantics (0/1/2) must match the defined behavior of GNU diff and git diff. This is an inherent, domain-driven correctness cue, though not explicitly stated as tests.",3.0,9.0,2.30258509,1.0,0.0,,merged,123.0,1.0,YAML,,0.0
PA-24,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4.0,247.0,5.51342875,1.0,1.0,7.69,merged,2.0,3.0,TypeScript,0.0,
NE-3,https://github.com/SalesforceCommerceCloud/pwa-kit/pull/1528,https://chat.openai.com/share/d5a18a26-08b3-47ea-a1ac-952dee512285,NE,1.0,0.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioniong about express.js library but no example code snippets or file paths. Specificity (0): The request is open-ended and conceptual, not specifying a goal related to code modification, constraints, or output format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations. Just a general inquiry of how express.js middleware functions commonly named and giving sample names",1.0,486.0,6.18826412,0.0,,,merged,55.0,1.0,JavaScript,,1.0
NE-4,https://github.com/strictphp/http-clients/pull/7,https://chat.openai.com/share/df1da483-465a-49d6-80e1-fc6f21992b58,NE,1.0,0.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about PhP and names serialize and json_encode functions Specificity (0): The prompt has no defined goal, constraints, or task boundaries; it asks general comparative questions unrelated to implementation. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked to detertime either serialize or json_encode is faster in PhP",2.0,595.0,6.39024067,0.0,,,merged,0.0,6.0,PHP,,0.0
NE-11,https://github.com/VOICEVOX/voicevox_core/pull/532,https://chat.openai.com/share/60d93fac-6c72-4532-8f7b-f87671a2a73d,NE,1.0,0.0,0.0,"Context was scored 1 because the prompt provides partial context by providing sample conversation between members who wanted to decide on the technical words to use in a change i.e. constructor/destructor or generate/release. The user simply asks for an opinion about the terminology debate without defining a task goal, constraints, or required output structure, so S=0. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations.",1.0,2170.0,7.68294317,0.0,,,merged,93.0,38.0,Rust,,0.0
NE-25,https://github.com/marqo-ai/marqo/pull/670,https://chat.openai.com/share/d6c43184-1ad5-49b5-b209-e659bdb68c33,NE,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning about unit testing and private methods. :contentReference[oaicite:0]{index=0} Specificity (1): The goal is clear (“what does it say about the design if testing requires unit-testing private methods”), but no constraints, scope, or structured output requirements are given. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations.",2.0,464.0,6.14203741,0.0,,,merged,53.0,2.0,Python,,0.0
